s1	p	o1
o1	q	s1
s2	p	o2
o2	q	s2
s3	p	o3
o3	q	s3
s4	p	o4
o4	q	s4
s5	p	o5
o5	q	s5
s6	p	o6
o6	q	s6
s7	p	o7
o7	q	s7
s8	p	o8
o8	q	s8
s9	p	o9
o9	q	s9
s10	p	o10
o10	q	s10
s11	p	o11
o11	q	s11
s12	p	o12
o12	q	s12
s13	p	o13
o13	q	s13
s14	p	o14
o14	q	s14
s15	p	o15
o15	q	s15
s16	p	o16
o16	q	s16
s17	p	o17
o17	q	s17
s18	p	o18
o18	q	s18
s19	p	o19
o19	q	s19
s20	p	o20
o20	q	s20
s21	p	o21
o21	q	s21
s22	p	o22
o22	q	s22
s23	p	o23
o23	q	s23
s24	p	o24
o24	q	s24
s25	p	o25
o25	q	s25
s26	p	o26
o26	q	s26
s27	p	o27
o27	q	s27
s28	p	o28
o28	q	s28
s29	p	o29
o29	q	s29
s30	p	o30
o30	q	s30
s31	p	o31
o31	q	s31
s32	p	o32
o32	q	s32
s33	p	o33
o33	q	s33
s34	p	o34
o34	q	s34
s35	p	o35
o35	q	s35
s36	p	o36
o36	q	s36
s37	p	o37
o37	q	s37
s38	p	o38
o38	q	s38
s39	p	o39
o39	q	s39
s40	p	o40
o40	q	s40
s41	p	o41
o41	q	s41
s42	p	o42
o42	q	s42
s43	p	o43
o43	q	s43
s44	p	o44
o44	q	s44
s45	p	o45
o45	q	s45
s46	p	o46
o46	q	s46
s47	p	o47
o47	q	s47
s48	p	o48
o48	q	s48
s49	p	o49
o49	q	s49
s50	p	o50
o50	q	s50
s51	p	o51
o51	q	s51
s52	p	o52
o52	q	s52
s53	p	o53
o53	q	s53
s54	p	o54
o54	q	s54
s55	p	o55
o55	q	s55
s56	p	o56
o56	q	s56
s57	p	o57
o57	q	s57
s58	p	o58
o58	q	s58
s59	p	o59
o59	q	s59
s60	p	o60
o60	q	s60
s61	p	o61
o61	q	s61
s62	p	o62
o62	q	s62
s63	p	o63
o63	q	s63
s64	p	o64
o64	q	s64
s65	p	o65
o65	q	s65
s66	p	o66
o66	q	s66
s67	p	o67
o67	q	s67
s68	p	o68
o68	q	s68
s69	p	o69
o69	q	s69
s70	p	o70
o70	q	s70
s71	p	o71
o71	q	s71
s72	p	o72
o72	q	s72
s73	p	o73
o73	q	s73
s74	p	o74
o74	q	s74
s75	p	o75
o75	q	s75
s76	p	o76
o76	q	s76
s77	p	o77
o77	q	s77
s78	p	o78
o78	q	s78
s79	p	o79
o79	q	s79
s80	p	o80
o80	q	s80
s81	p	o81
o81	q	s81
s82	p	o82
o82	q	s82
s83	p	o83
o83	q	s83
s84	p	o84
o84	q	s84
s85	p	o85
o85	q	s85
s86	p	o86
o86	q	s86
s87	p	o87
o87	q	s87
s88	p	o88
o88	q	s88
s89	p	o89
o89	q	s89
s90	p	o90
o90	q	s90
s91	p	o91
o91	q	s91
s92	p	o92
o92	q	s92
s93	p	o93
o93	q	s93
s94	p	o94
o94	q	s94
s95	p	o95
o95	q	s95
s96	p	o96
o96	q	s96
s97	p	o97
o97	q	s97
s98	p	o98
o98	q	s98
s99	p	o99
o99	q	s99
s100	p	o100
o100	q	s100
s101	p	o101
o101	q	s101
s102	p	o102
o102	q	s102
s103	p	o103
